PolicyID,Period,EarnedPremium,ExposureUnits,Geography,Industry,PolicySize,RiskRating
POL000001,2024-05,2532.03,55.16,Northeast,Education,Medium,4.25
POL000001,2024-06,2532.03,53.04,Northeast,Education,Medium,4.25
POL000001,2024-07,2532.03,52.83,Northeast,Education,Medium,4.25
POL000001,2024-08,2532.03,55.66,Northeast,Education,Medium,4.25
POL000001,2024-09,2532.03,52.99,Northeast,Education,Medium,4.25
POL000001,2024-10,2532.03,51.31,Northeast,Education,Medium,4.25
POL000001,2024-11,2532.03,53.09,Northeast,Education,Medium,4.25
POL000001,2024-12,2532.03,54.68,Northeast,Education,Medium,4.25
POL000002,2024-02,498.76,10.38,Southwest,Technology,Small,5.33
POL000002,2024-03,498.76,10.39,Southwest,Technology,Small,5.33
POL000002,2024-04,498.76,10.31,Southwest,Technology,Small,5.33
POL000002,2024-05,498.76,9.85,Southwest,Technology,Small,5.33
POL000002,2024-06,498.76,10.47,Southwest,Technology,Small,5.33
POL000002,2024-07,498.76,10.5,Southwest,Technology,Small,5.33
POL000002,2024-08,498.76,9.79,Southwest,Technology,Small,5.33
POL000002,2024-09,498.76,9.73,Southwest,Technology,Small,5.33
POL000002,2024-10,498.76,10.58,Southwest,Technology,Small,5.33
POL000002,2024-11,498.76,10.47,Southwest,Technology,Small,5.33
POL000002,2024-12,498.76,10.5,Southwest,Technology,Small,5.33
POL000003,2023-05,617.44,8.51,Northeast,Retail,Small,4.79
POL000003,2023-06,617.44,8.22,Northeast,Retail,Small,4.79
POL000003,2023-07,617.44,8.31,Northeast,Retail,Small,4.79
POL000003,2023-08,617.44,8.23,Northeast,Retail,Small,4.79
POL000003,2023-09,617.44,7.82,Northeast,Retail,Small,4.79
POL000003,2023-10,617.44,8.39,Northeast,Retail,Small,4.79
POL000003,2023-11,617.44,8.19,Northeast,Retail,Small,4.79
POL000003,2023-12,617.44,8.31,Northeast,Retail,Small,4.79
POL000003,2024-01,617.44,8.19,Northeast,Retail,Small,4.79
POL000003,2024-02,617.44,8.18,Northeast,Retail,Small,4.79
POL000003,2024-03,617.44,7.92,Northeast,Retail,Small,4.79
POL000003,2024-04,617.44,8.01,Northeast,Retail,Small,4.79
POL000003,2024-05,617.44,7.91,Northeast,Retail,Small,4.79
POL000003,2024-06,617.44,7.94,Northeast,Retail,Small,4.79
POL000003,2024-07,617.44,8.58,Northeast,Retail,Small,4.79
POL000003,2024-08,617.44,7.91,Northeast,Retail,Small,4.79
POL000003,2024-09,617.44,8.0,Northeast,Retail,Small,4.79
POL000003,2024-10,617.44,8.26,Northeast,Retail,Small,4.79
POL000003,2024-11,617.44,8.28,Northeast,Retail,Small,4.79
POL000003,2024-12,617.44,7.91,Northeast,Retail,Small,4.79
POL000004,2023-10,15841.98,200.94,Northeast,Manufacturing,Large,5.3
POL000004,2023-11,15841.98,200.78,Northeast,Manufacturing,Large,5.3
POL000004,2023-12,15841.98,190.08,Northeast,Manufacturing,Large,5.3
POL000004,2024-01,15841.98,191.08,Northeast,Manufacturing,Large,5.3
POL000004,2024-02,15841.98,203.76,Northeast,Manufacturing,Large,5.3
POL000004,2024-03,15841.98,201.57,Northeast,Manufacturing,Large,5.3
POL000004,2024-04,15841.98,199.07,Northeast,Manufacturing,Large,5.3
POL000004,2024-05,15841.98,187.05,Northeast,Manufacturing,Large,5.3
POL000004,2024-06,15841.98,193.61,Northeast,Manufacturing,Large,5.3
POL000004,2024-07,15841.98,196.37,Northeast,Manufacturing,Large,5.3
POL000004,2024-08,15841.98,189.11,Northeast,Manufacturing,Large,5.3
POL000004,2024-09,15841.98,194.2,Northeast,Manufacturing,Large,5.3
POL000004,2024-10,15841.98,197.18,Northeast,Manufacturing,Large,5.3
POL000004,2024-11,15841.98,191.84,Northeast,Manufacturing,Large,5.3
POL000004,2024-12,15841.98,200.69,Northeast,Manufacturing,Large,5.3
POL000005,2023-05,620.91,8.41,West,Retail,Small,4.45
POL000005,2023-06,620.91,7.99,West,Retail,Small,4.45
POL000005,2023-07,620.91,8.41,West,Retail,Small,4.45
POL000005,2023-08,620.91,7.81,West,Retail,Small,4.45
POL000005,2023-09,620.91,8.4,West,Retail,Small,4.45
POL000005,2023-10,620.91,7.85,West,Retail,Small,4.45
POL000005,2023-11,620.91,7.79,West,Retail,Small,4.45
POL000005,2023-12,620.91,8.25,West,Retail,Small,4.45
POL000005,2024-01,620.91,8.11,West,Retail,Small,4.45
POL000005,2024-02,620.91,8.46,West,Retail,Small,4.45
POL000005,2024-03,620.91,8.02,West,Retail,Small,4.45
